ID,r[kpc],tv[Gyrs],distancia[kpc],rapidez_M_sup,Class,Teff_LASP,e_Teff_LASP,[Fe/H]_LASP,Vesc(M),V_GC,Pgc,Pub(M),Masas_M_sun,M_e_sup,G,G_BP,G_RP
Hivel185,1.1976182116554834,0.6753196920661617,114.4615755940575,1.7734092841145104,G8,4808,77,-0.94,536,521,0.366,0.387,0.671272304154789,0.7543251094494992,13.62,12.64,11.6
Hivel265,1.19782145934606,0.11675825453595934,26.312762481626994,10.258987376152954,G5,4470,133,-1.14,548,496,0.566,0.27,0.3511311692754351,0.4194683708934552,12.58,17.9,15.47
Hivel308,1.1978175141911593,0.7157868174651458,117.84122276879997,1.6734277370922457,F0,6063,298,-1.37,515,486,0.303,0.322,0.5975305027333492,0.7823738683077482,16.01,16.35,13.9
Hivel345,1.199369575532226,2.802557471895584,341.8994532291258,0.4279553898750203,F0,6197,66,-1.67,511,480,0.262,0.183,0.8547540012767278,1.0369552979096437,14.55,12.99,11.3
Hivel385,1.19681282472908,0.012216986450092726,6.582168817642756,97.96301482514914,F5,5977,176,-1.33,516,476,0.991,0.167,0.6771360772571261,0.8856694776826337,15.66,16.35,15.66
Hivel418,1.197700938175471,0.01420685042869696,6.879667699782196,84.30446594666677,F0,6155,32,-1.41,512,470,0.594,0.235,1.4261523674862175,1.7068375808465344,15.37,15.62,14.95
Hivel465,1.1994170720764268,0.419328244844988,73.95953999923707,2.860329793715213,G1,5162,149,-1.61,518,465,0.284,0.184,0.6709555446144608,0.709929882655166,13.84,14.47,13.01
Hivel486,1.1987496700679108,0.11453075509971722,25.675038299505097,10.466618062757107,G0,5056,107,-1.52,523,462,0.564,0.139,0.3298597352902971,0.3875276263488692,14.41,20.28,17.59
Hivel487,1.1980406081539243,0.013085033977453087,6.345798567299102,91.55808156236174,G7,5334,262,-1.37,519,462,0.811,0.002,0.8686775119889568,0.9071531808060199,14.19,18.82,16.51
Hivel494,1.1990682849466936,0.012437049453755122,6.260940847097749,96.41099276843822,G2,5030,22,-1.43,520,461,0.878,0.155,0.9322207261315264,1.050431716681632,13.91,14.36,13.29
Hivel507,1.1980817948671785,1.6650154390351504,221.4941718349619,0.7195619732880361,F0,6163,120,-1.55,512,460,0.38,0.137,0.8525117568824983,1.0232053279589024,15.49,14.19,13.76
Hivel545,1.199466987727493,0.013718307290056408,7.148996813625977,87.43549494600663,F7,5749,121,-1.33,509,455,0.446,0.135,0.3085150833287027,0.4046922137685296,16.59,18.59,16.3
Hivel549,1.1988294580534344,0.18887312994288585,39.20934042401419,6.347273740928387,G2,5256,23,-1.5,512,455,0.515,0.196,0.3991255367139499,0.49234482568524207,15.02,15.4,14.47
Hivel574,1.1975463040456658,0.014296741079602882,7.358273128638826,83.76358621715556,G2,5024,73,-1.38,507,452,0.948,0.041,0.8384066422505461,0.903852641939663,13.69,14.96,13.84
Hivel578,1.1996830055017944,0.836645003953099,126.0605389118377,1.4339211969633021,F0,6217,203,-1.03,514,451,0.334,0.157,0.7093647145404646,0.9162942286550286,15.68,14.6,12.33
Hivel582,1.1974941348350103,0.011748761963400689,6.909638646309159,101.92513377710775,G7,5115,271,-1.06,513,450,0.983,0.0,0.3517695482075092,0.3576892551546622,14.02,16.04,16.48
Hivel583,1.1979255695802709,0.8820821465822704,131.83215217199134,1.3580657699759286,G0,5752,84,-0.98,510,449,0.629,0.064,0.7773816508908749,0.923639502483524,16.04,13.81,12.66
